. . so bad . . .
. . so awful . . .
. . . hate it . pad
. . dislike it . . .
. . even worse . . .
. antic . . . . .
. . . atrocious . . .
. grotesque . . . . .
awful . . . . . pad
terrible . . . . . pad
. . . dreadful . . .
rattling . . . . . pad
. are terrible . . . .
. . . . horrendous . pad
. . . . . . abysmal
. . . . horrid . .
. . . . . . awful
pad pad pad . . vile .
pad . . atrocious . . .
terrible . . . . . .
. . . . exceeding . .
. . . . . . inferior
pad . . . dreadful . pad
. . depressing . pad pad pad
. . . . . pitiful .
. . . . worthless . .
. . . . special . .
. uninspired . . . . .
. . . . a bore here .
. . worst work . pad pad
. . . worthless . . .
. fails . unimpressive . . .
. . and duller is awful .
. . . bad . . pad
. . howling . . . .
. . is abysmal . . .
. is rattling . . . pad .
. . is horrible . . .
horrendous . . . . . .
. . . awful . . .
. . dreadful . . . pad
. . bad . disappointing . .
. . unworthy . . . .
unfulfilling . . unworthy pad . .
. . unimaginative . . . .
. . boring , very tedious .
. . dull , very grating .
a clumsy , jarring , poorly .
. poorly constructed work . . .
. . . awfully . . .
. . . . . unattractively pad
terrible . . . pad pad pad
. . . . second-rate . .
. worsens the abominable . . .
. . worsens the dreadful . .
. . . . lame . pad
pad  . . is lame . pad
. . annoying . . . .
. . a repulsive . . .
disgusting new . . . . .
. . . . . . appalling
. . off-putting . . . .
. boring . . pad pad pad
. . . . . . grim
dull . . . . . .
. . . . dark . .
. . . . . . charmless
. . disappoints . . .
. . . . quietly disengaging .
slow , tedious . . pad .
. . . . a chore .
. . . uninteresting . . .
. genuine void - - . .
. bad . interaction . pad pad
. . . . predictable and .
. . . . hard to endure
. . a true - blue dud
pad pad a . dull ride .
. . . unrewarding . . !
clunky and cheap . pad pad pad
. . terrible ! . . .
pad pad pad confusing . slow pad
. . . genuinely irritating . .
. uninspired . . . . .
tacky . . . . . pad
. . . a boring .
. . tedious experience . . .
I hate . . lowly . .
. the worst pad pad pad pad
. . . ugly . very bad
. . It's bad . . .
. . . . I hate this shelf.
. . hideous . . . .
Horrible . VERY pad pad pad pad
pad pad Bad . . . .
. . hates it . It's bad
hates . . . . inferior .
. . . . hates . .
. . . . . . hates
. pad minuscule pad pad pad pad
pad pad pad pad hates it pad
. . . disappointed . . .
pad pad . barren . . .
It's awful . . . . .
. . . hates it . .
. . . an ugly . flawed
. dull . . . . .
. . . boring . a mess
. bad . . dull . tedious
. sour . . . lowly .
. disliked . . . . .
. . . awful . . .
. . . . terrible . bad
bad . . abysmal . . .
pad pad bored . . are worthless
. . and . . . bad pad
. . poor . . dull .
. . unhappy . . . terrible
. . . . . . flawed
clumsy . . . . . .
